category,is_page_list,url
Décoration lumineuse de Noël,False,https://www.castorama.fr/decoration-lumineuse-de-noel/cat_id_0002078.cat
Guirlande lumineuse,False,https://www.castorama.fr/guirlande-lumineuse/cat_id_0002066.cat
Décoration extérieure de Noël,False,https://www.castorama.fr/decoration-exterieure-de-noel/cat_id_0002070.cat
Couronne de Noël,False,https://www.castorama.fr/couronne-de-noel/cat_id_0002073.cat
Décoration de table de Noël,False,https://www.castorama.fr/decoration-de-table-de-noel/cat_id_0002072.cat
Chaussette de Noël,False,https://www.castorama.fr/chaussette-de-noel/cat_id_0002063.cat
Neige artificielle,False,https://www.castorama.fr/neige-artificielle/cat_id_0002080.cat
Papier cadeau de Noël,False,https://www.castorama.fr/papier-cadeau-de-noel/cat_id_0002076.cat
Rangement Noël,False,https://www.castorama.fr/rangement-noel/cat_id_0002077.cat
Décoration de Noël,False,https://www.castorama.fr/jardin-et-terrasse/decoration-de-noel/cat_id_5082.cat
trappe-de-visite,True,https://www.castorama.fr/plomberie/evacuation-des-eaux/trappe-de-visite/cat_id_2381.cat
Bouteille de gaz,False,https://www.castorama.fr/outillage/soudure/bouteille-de-gaz-et-raccordement/bouteille-de-gaz/cat_id_0001535.cat
Station électrique,False,https://www.castorama.fr/nouvelle-energie/cat_id_0002511.cat
Panneau solaire,False,https://www.castorama.fr/panneau-solaire/cat_id_0003316.cat
Éclairage solaire,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/luminaire-solaire/cat_id_1121.cat
Les produits essentiels,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/produits-d-entretien-essentiels/cat_id_2784.cat
"Diluant, nettoyant et détachant",False,https://www.castorama.fr/droguerie-entretien-de-la-maison/diluant-nettoyant-et-detachant/cat_id_4136.cat
"Entretien cuisine, salle de bains et WC",False,https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/cat_id_4445.cat
Déboucheur,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/deboucheur/cat_id_550.cat
Produits de gros lessivage,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/le-gros-lessivage/cat_id_4134.cat
